0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:17:39 +0900] "GET /MavenTest/ex02LoginSuccess.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:19:42 +0900] "GET /MavenTest/ex02Login.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:19:46 +0900] "POST /MavenTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:19:46 +0900] "GET /MavenTest/ex02LoginSuccess.jsp HTTP/1.1" 200 312
127.0.0.1 - - [09/Jan/2023:14:41:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7912
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/images/pic01.jpg HTTP/1.1" 200 38255
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/css/main.css HTTP/1.1" 200 73318
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/js/skel.min.js HTTP/1.1" 200 9085
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/js/main.js HTTP/1.1" 200 7034
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/images/pic02.jpg HTTP/1.1" 200 56304
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/images/pic03.jpg HTTP/1.1" 200 57267
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/images/pic04.jpg HTTP/1.1" 200 38555
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/images/pic05.jpg HTTP/1.1" 200 37467
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/images/pic06.jpg HTTP/1.1" 200 55597
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/images/banner.jpg HTTP/1.1" 200 196079
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:41:12 +0900] "GET /MessageSystem/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:47:17 +0900] "GET /MessageSystem/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:14:47:17 +0900] "GET /MessageSystem/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2023:15:24:02 +0900] "GET / HTTP/1.1" 404 807
107.189.13.72 - - [09/Jan/2023:15:25:38 +0900] "CONNECT google.com:443 HTTP/1.1" 400 878
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/main.jsp? HTTP/1.1" 200 7912
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/images/pic04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/images/pic05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/images/pic06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:25 +0900] "GET /MessageSystem/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:15:45:29 +0900] "GET /MessageSystem/main.jsp? HTTP/1.1" 200 7912
192.241.220.15 - - [09/Jan/2023:15:46:15 +0900] "-" 400 2163
127.0.0.1 - - [09/Jan/2023:16:17:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/images/pic04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/images/pic05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/images/pic06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:13 +0900] "GET /MessageSystem/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:34 +0900] "GET /MessageSystem/main.jsp? HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:17:39 +0900] "POST /MessageSystem/JoinProgram HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:18:12 +0900] "POST /MessageSystem/JoinProgram HTTP/1.1" 404 836
127.0.0.1 - - [09/Jan/2023:16:58:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/images/pic04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:16:58:33 +0900] "GET /MessageSystem/images/pic05.jpg HTTP/1.1" 304 -
